sample_uid,Year_start,site_uid,Year_end
00KN01-HAKpf-1,2000,Nairobi,2000
00KN02-HAKpf-1,2000,Nairobi,2000
00KN03-HAKpf-1,1998,Nairobi,1998
00KN05-HAKpf-1,2000,Nairobi,2000
00KN06-HAKpf-1,2000,Nairobi,2000
00KN07-HAKpf-1,2000,Nairobi,2000
00KN08-HAKpf-1,2000,Nairobi,2000
00KN09-HAKpf-1,2000,Nairobi,2000
00KN11-HAKpf-1,2000,Nairobi,2000
00KS04-HAKpf-1,2000,Kisumu,2000
00KS05-HAKpf-1,2000,Kisumu,2000
00KS06-HAKpf-1,2000,Kisumu,2000
00KS07-HAKpf-1,2000,Kisumu,2000
00KS08-HAKpf-1,2000,Kisumu,2000
00KS09-HAKpf-1,2002,Kisumu,2002
00KS10-HAKpf-1,2002,Kisumu,2002
00KS11-HAKpf-1,2002,Kisumu,2002
00KS12-HAKpf-1,2002,Kisumu,2002
00KS13-HAKpf-1,2002,Kisumu,2002
00KS14-HAKpf-1,2002,Kisumu,2002
03ALH01-HAKpf-1,2003,Alupe,2003
03ALH02-HAKpf-1,2003,Alupe,2003
03MDH03-HAKpf-1,2003,Malindi,2003
03MDH04-HAKpf-1,2003,Malindi,2003
03MDH05-HAKpf-1,2003,Malindi,2003
03MDH06-HAKpf-1,2003,Malindi,2003
03MDH07-HAKpf-1,2003,Malindi,2003
03MDH08-HAKpf-1,2003,Malindi,2003
03MDH09-HAKpf-1,2003,Malindi,2003
03MDH10-HAKpf-1,2003,Malindi,2003
03MDH11-HAKpf-1,2003,Malindi,2003
03MDH12-HAKpf-1,2003,Malindi,2003
03MDH13-HAKpf-1,2003,Malindi,2003
03MDH14-HAKpf-1,2003,Malindi,2003
03MDH15-HAKpf-1,2003,Malindi,2003
03MDH16-HAKpf-1,2003,Malindi,2003
03MDH17-HAKpf-1,2003,Malindi,2003
03MDH18-HAKpf-1,2003,Malindi,2003
03MDH19-HAKpf-1,2003,Malindi,2003
03MDH20-HAKpf-1,2003,Malindi,2003
03MDH21-HAKpf-1,2003,Malindi,2003
03MDH22-HAKpf-1,2003,Malindi,2003
03MDH23-HAKpf-1,2003,Malindi,2003
03MDH24-HAKpf-1,2003,Malindi,2003
03MDH25-HAKpf-1,2003,Malindi,2003
03MDH26-HAKpf-1,2003,Malindi,2003
03MDH27-HAKpf-1,2003,Malindi,2003
03MDH28-HAKpf-1,2003,Malindi,2003
03MDH29-HAKpf-1,2003,Malindi,2003
03MDH30-HAKpf-1,2003,Malindi,2003
03MDH31-HAKpf-1,2003,Malindi,2003
03MDH32-HAKpf-1,2003,Malindi,2003
03MDH33-HAKpf-1,2003,Malindi,2003
03MDH35-HAKpf-1,2003,Malindi,2003
03MDH36-HAKpf-1,2003,Malindi,2003
03MDH37-HAKpf-1,2003,Malindi,2003
03MDH38-HAKpf-1,2003,Malindi,2003
03MDH39-HAKpf-1,2003,Malindi,2003
03MDH40-HAKpf-1,2003,Malindi,2003
03NNY01-HAKpf-1,2003,Kisumu,2003
03NNY15-HAKpf-1,2003,Kisumu,2003
03NNY16-HAKpf-1,2003,Kisumu,2003
03PB01-HAKpf-1,2003,Kilifi,2003
03PB02-HAKpf-1,2003,Kilifi,2003
03PB03-HAKpf-1,2003,Kilifi,2003
03PB04-HAKpf-1,2003,Kilifi,2003
05MDH01-HAKpf-1,2005,Malindi,2005
05MDH02-HAKpf-1,2005,Malindi,2005
05NNY02-HAKpf-1,2005,Kisumu,2005
05NNY03-HAKpf-1,2005,Kisumu,2005
05SMH01-HAKpf-1,2005,Mumias,2005
05SMH02-HAKpf-1,2005,Mumias,2005
05SMH03-HAKpf-1,2005,Mumias,2005
05SMH04-HAKpf-1,2005,Mumias,2005
05SMH05-HAKpf-1,2005,Mumias,2005
05SMH06-HAKpf-1,2005,Mumias,2005
05SMH07-HAKpf-1,2005,Mumias,2005
05SMH08-HAKpf-1,2005,Mumias,2005
05SMH09-HAKpf-1,2005,Mumias,2005
14201001-HAKpf-1,2014,Kombewa,2014
14201002-HAKpf-1,2014,Kombewa,2014
14201003-HAKpf-1,2014,Kombewa,2014
14201004-HAKpf-1,2014,Kombewa,2014
14201005-HAKpf-1,2014,Kombewa,2014
14201006-HAKpf-1,2014,Kombewa,2014
14201007-HAKpf-1,2014,Kombewa,2014
14201008-HAKpf-1,2014,Kombewa,2014
