"display_label","Year_group","avg_prevalence"
"Asn86Asn","1998-1999",25
"Asn86Asn","2000-2001",40
"Asn86Asn","2002-2003",27.7777777777778
"Asn86Asn","2004-2005",13.2478632478632
"Asn86Asn","2006-2007",0
"Asn86Asn","2008-2009",38.1944444444444
"Asn86Asn","2010-2011",70
"Asn86Asn","2012-2013",98.8505747126437
"Asn86Asn","2014-2015",99.5024875621891
"Asn86Asn","2016-2017",100
"Asn86Asn","2018-2019",100
"Asn86Asn","2020-2021",100
"Asp1246Asp","1998-1999",25
"Asp1246Asp","2000-2001",71.6666666666667
"Asp1246Asp","2002-2003",38.8888888888889
"Asp1246Asp","2004-2005",35.4700854700855
"Asp1246Asp","2006-2007",0
"Asp1246Asp","2008-2009",49.1558441558442
"Asp1246Asp","2010-2011",81.7948717948718
"Asp1246Asp","2012-2013",95.2380952380952
"Asp1246Asp","2014-2015",83.79072846028
"Asp1246Asp","2016-2017",94.4444444444444
"Asp1246Asp","2018-2019",96.0514408192427
"Asp1246Asp","2020-2021",97.7272727272727
"Tyr184Phe","1998-1999",0
"Tyr184Phe","2000-2001",43.3333333333333
"Tyr184Phe","2002-2003",55.5555555555556
"Tyr184Phe","2004-2005",43.5897435897436
"Tyr184Phe","2006-2007",0
"Tyr184Phe","2008-2009",40.6746031746032
"Tyr184Phe","2010-2011",48.2539682539683
"Tyr184Phe","2012-2013",54.0229885057471
"Tyr184Phe","2014-2015",67.6390216405656
"Tyr184Phe","2016-2017",66.25
"Tyr184Phe","2018-2019",59.8499121651296
"Tyr184Phe","2020-2021",57.2727272727273
