"year_bin","haplotype_label","prevalence"
"1998-2001","WT",7.14285714285714
"1998-2001","N51I (I)",7.14285714285714
"1998-2001","C59R-S108N (RN)",14.2857142857143
"1998-2001","N51I-S108N (IN)",35.7142857142857
"1998-2001","N51I-C59R-S108N (IRN)",35.7142857142857
"2002-2005","N51I-S108N (IN)",12.5
"2002-2005","N51I-C59R-S108N (IRN)",87.5
"2006-2009","S108N (N)",4.44444444444444
"2006-2009","N51I-S108N (IN)",2.22222222222222
"2006-2009","N51I-C59R-S108N (IRN)",93.3333333333333
"2010-2013","WT",2.56410256410256
"2010-2013","C59R-S108N (RN)",3.84615384615385
"2010-2013","N51I-S108N (IN)",6.41025641025641
"2010-2013","N51I-C59R-S108N (IRN)",87.1794871794872
"2014-2017","N51I-C59R (IR)",5.34351145038168
"2014-2017","N51I-S108N (IN)",2.29007633587786
"2014-2017","N51I-C59R-S108N (IRN)",92.3664122137405
"2018-2021","WT",0.8
"2018-2021","N51I-C59R (IR)",0.8
"2018-2021","S108N (N)",1.6
"2018-2021","N51I-S108N (IN)",1.6
"2018-2021","N51I-C59R-S108N (IRN)",95.2
